CHSI_State_Abbr,No_Exercise,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,Influenzae,HepA,HepB,Measeles,Pertusis,Congential.Rubella,Syphilis,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol,Salmonella,Shig,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,Premature,Infant_Mortality,Brst_Cancer,Col_Cancer,CHD,ALE,All_Death,Health_Status
AL,27.8,24.5,29.1,26.6,14.2,5690,4762,1209,45.3,22.6,1,2,3,5,5,3,14,3,12,2533,4933,9354,7753,6,166,54,35664,1,1,1,2,1,1,14.3,5.9,34.1,15.9,172.4,74.9,1041.5,21.8
AL,27.2,23.6,30.5,24.6,7.2,19798,22635,3839,67,30.8,1,2,4,24,26,3,27,3,4,2533,4933,9354,7753,6,166,54,35664,1,1,1,2,1,1,15.3,7.1,22.5,15.3,156.5,76.6,856.9,15.4
AL,30.918,25.6,29.185,17.7,6.6,5126,3288,1092,45.8,24.6,1,2,3,9,6,3,6,3,10,569,1302,1618,1403,3,82,17,49874,1,1,1,1,1,1,16.7,7.1,30.5,23.4,95.3,74.5,1019.4,21.4
AL,32.363,28.915,31.752,26.033,13.1,3315,2390,974,41.8,18.6,1,1,3,16,8,3,9,3,8,358,900,1218,1034,6,41,19,7302,1,1,1,1,1,1,13.7,9.8,30.1,17.4,184.7,73.2,1050.5,19.4
AL,33.5,24.2,31.065,23.6,8.4,8131,5019,1300,16.2,10.8,2,1,6,8,8,3,11,3,3,819,2217,3164,2675,6,56,16,889020,1,1,1,1,1,1,12.8,9,30.2,16.8,148.2,76.1,954.2,25.8
AL,34.917,31.174,30.828,22.22,11.587,2295,1433,504,54.3,18.1,1,1,3,9,4,3,7,3,9,327,448,626,565,3,37,14,725729.55,1,1,1,1,1,1,22.6,13.3,30.4,23,221.4,71.9,1107.6,26.488
AL,24.5,22,29.874,27.3,9.5,4055,3150,952,43.3,19.3,1,2,3,9,11,3,3,3,28,537,976,1164,1029,3,62,22,98136,1,1,1,1,1,1,15.7,5.8,20.5,17.8,229,73,1084.2,21.6
AL,29.2,27,33.2,25.5,11.2,16456,16440,5301,75.8,41.9,1,2,4,12,20,3,13,3,14,2182,5722,6400,5545,3,85,66,808521,1,1,1,1,1,1,14.1,9.5,26.4,18.4,189.3,73.1,1100.3,26.7
AL,34.7,29.519,33.928,11.7,17.1,5533,5473,1497,53.6,22.6,1,2,3,6,4,5,3,3,5,849,1470,2005,1647,3,61,10,276636,1,1,1,1,1,1,15.2,7.5,25.3,13.8,110.8,73.8,1075.6,32.3
AL,32.682,27.332,32.251,23.6,13.3,3583,3086,854,28.5,12.2,2,1,4,7,7,3,5,3,4,464,1154,1436,1140,4,41,15,7077,1,1,1,1,1,1,12.2,7.4,11,15.3,160.4,75.3,999.3,24.896
AL,30.3,31.2,26.5,30,6,6130,4527,1307,31.1,19.2,1,2,3,9,4,3,4,3,7,685,1887,2355,2009,3,41,8,20846,1,1,1,1,1,1,14.6,10.5,16.2,13.7,188.1,74.1,1040.4,26
